"regiao","ano","mes","carga_de_demanda"
"N","2000",1,2710.7
"N","2000",2,2717.3
"N","2000",3,2743.3
"N","2000",4,2725.3
"N","2000",5,2789.2
"N","2000",6,2804.1
"N","2000",7,2774.4
"N","2000",8,2915.9
"N","2000",9,2917.6
"N","2000",10,2899.2
"N","2000",11,2893.3
"N","2000",12,2884.9
"N","2001",1,2831.8
"N","2001",2,2843.1
"N","2001",3,2847
"N","2001",4,2865.2
"N","2001",5,2881
"N","2001",6,2845.2
"N","2001",7,2543.7
"N","2001",8,2531.54
"N","2001",9,2356.4
"N","2001",10,2362.4
"N","2001",11,2346
"N","2001",12,2437.7
"N","2002",1,2730.4
"N","2002",2,2831.4
"N","2002",3,2821
"N","2002",4,2860
"N","2002",5,2858.7
"N","2002",6,2885.6
"N","2002",7,2876.7
"N","2002",8,2948.6
"N","2002",9,2892.4
"N","2002",10,2907.3
"N","2002",11,2936.3
"N","2002",12,2893.3
"N","2003",1,2910
"N","2003",2,3034.9
"N","2003",3,3065.4
"N","2003",4,3110.7
"N","2003",5,3147.9
"N","2003",6,3170.5
"N","2003",7,3117.9
"N","2003",8,2956.5
"N","2003",9,2983.51
"N","2003",10,3140.3
"N","2003",11,3249
"N","2003",12,3223.36
"N","2004",1,3251.4
"N","2004",2,3182.1
"N","2004",3,3262.2
"N","2004",4,3290.5
"N","2004",5,3340.3
"N","2004",6,3363.4
"N","2004",7,3346.9
"N","2004",8,3393.9
"N","2004",9,3457.9
"N","2004",10,3477.2
"N","2004",11,3481
"N","2004",12,3429
"N","2005",1,3341.8
"N","2005",2,3419.2
"N","2005",3,3436.2
"N","2005",4,3498.9
"N","2005",5,3490.6
"N","2005",6,3540.5
"N","2005",7,3410.5
"N","2005",8,3569.5
"N","2005",9,3559
"N","2005",10,3585
"N","2005",11,3664
"N","2005",12,3668.53
"N","2006",1,3667.42
"N","2006",2,3713.49
"N","2006",3,3739.63
"N","2006",4,3700.46
"N","2006",5,3770.72
"N","2006",6,3814.3
"N","2006",7,3785.61
"N","2006",8,3861.33
"N","2006",9,3823.76
"N","2006",10,3836.91
