"regioes","periodos","download_ok","leitura_ok"
"SE/CO",2000,TRUE,TRUE
"S",2000,TRUE,TRUE
"NE",2000,TRUE,TRUE
"N",2000,TRUE,TRUE
"SIN",2000,TRUE,TRUE
"SE/CO",2001,TRUE,TRUE
"S",2001,TRUE,TRUE
"NE",2001,TRUE,TRUE
"N",2001,TRUE,TRUE
"SIN",2001,TRUE,TRUE
"SE/CO",2002,TRUE,TRUE
"S",2002,TRUE,TRUE
"NE",2002,TRUE,TRUE
"N",2002,TRUE,TRUE
"SIN",2002,TRUE,TRUE
"SE/CO",2003,TRUE,TRUE
"S",2003,TRUE,TRUE
"NE",2003,TRUE,TRUE
"N",2003,TRUE,TRUE
"SIN",2003,TRUE,TRUE
"SE/CO",2004,TRUE,TRUE
"S",2004,TRUE,TRUE
"NE",2004,TRUE,TRUE
"N",2004,TRUE,TRUE
"SIN",2004,TRUE,TRUE
"SE/CO",2005,TRUE,TRUE
"S",2005,TRUE,TRUE
"NE",2005,TRUE,TRUE
"N",2005,TRUE,TRUE
"SIN",2005,TRUE,TRUE
"SE/CO",2006,TRUE,TRUE
"S",2006,TRUE,TRUE
"NE",2006,TRUE,TRUE
"N",2006,TRUE,TRUE
"SIN",2006,TRUE,TRUE
"SE/CO",2007,TRUE,TRUE
"S",2007,TRUE,TRUE
"NE",2007,TRUE,TRUE
"N",2007,TRUE,TRUE
"SIN",2007,TRUE,TRUE
"SE/CO",2008,TRUE,TRUE
"S",2008,TRUE,TRUE
"NE",2008,TRUE,TRUE
"N",2008,TRUE,TRUE
"SIN",2008,TRUE,TRUE
"SE/CO",2009,TRUE,TRUE
"S",2009,TRUE,TRUE
"NE",2009,TRUE,TRUE
"N",2009,TRUE,TRUE
"SIN",2009,TRUE,TRUE
"SE/CO",2010,TRUE,TRUE
"S",2010,TRUE,TRUE
"NE",2010,TRUE,TRUE
"N",2010,TRUE,TRUE
"SIN",2010,TRUE,TRUE
"SE/CO",2011,TRUE,TRUE
"S",2011,TRUE,TRUE
"NE",2011,TRUE,TRUE
"N",2011,TRUE,TRUE
"SIN",2011,TRUE,TRUE
"SE/CO",2012,TRUE,TRUE
"S",2012,TRUE,TRUE
"NE",2012,TRUE,TRUE
"N",2012,TRUE,TRUE
"SIN",2012,TRUE,TRUE
"SE/CO",2013,TRUE,TRUE
"S",2013,TRUE,TRUE
"NE",2013,TRUE,TRUE
"N",2013,TRUE,TRUE
"SIN",2013,TRUE,TRUE
"SE/CO",2014,TRUE,TRUE
"S",2014,TRUE,TRUE
"NE",2014,TRUE,TRUE
"N",2014,TRUE,TRUE
"SIN",2014,TRUE,TRUE
"SE/CO",2015,TRUE,TRUE
"S",2015,TRUE,TRUE
"NE",2015,TRUE,TRUE
"N",2015,TRUE,TRUE
"SIN",2015,TRUE,TRUE
"SE/CO",2016,TRUE,TRUE
"S",2016,TRUE,TRUE
"NE",2016,TRUE,TRUE
"N",2016,TRUE,TRUE
"SIN",2016,TRUE,TRUE
