"regiao","unidade_de_medida","periodo","ano","mes","carga_de_energia"
"NORDESTE","GWh","anual",1996,NA,42333.2
"NORDESTE","GWh","anual",1997,NA,45361.7
"NORDESTE","GWh","anual",1998,NA,48991.7
"NORDESTE","GWh","anual",1999,NA,49847.8
"NORDESTE","GWh","anual",2000,NA,51638.4
"NORDESTE","GWh","anual",2001,NA,46341
"NORDESTE","GWh","anual",2002,NA,49286.1
"NORDESTE","GWh","anual",2003,NA,52922.8
"NORDESTE","GWh","anual",2004,NA,54937.5
"NORDESTE","GWh","anual",2005,NA,58646.95
"NORDESTE","GWh","anual",2006,NA,60559
"NORDESTE","GWh","anual",2007,NA,63480.58
"NORDESTE","GWh","anual",2008,NA,65725.34
"NORDESTE","GWh","anual",2009,NA,65859.58
"NORDESTE","GWh","anual",2010,NA,71396.87
"NORDESTE","GWh","anual",2011,NA,71614.42
"NORDESTE","GWh","anual",2012,NA,76666.51
"NORDESTE","GWh","anual",2013,NA,81340.65
"NORDESTE","GWh","anual",2014,NA,83810.88
"NORDESTE","GWh","anual",2015,NA,85434.94
"NORDESTE","GWh","anual",2016,NA,21810.41
"NORDESTE","GWh","anual",2015,NA,85874.48
"NORDESTE","GWh","anual",2016,NA,58001.76
"NORDESTE","GWh","mensal",1,1,4249.78
"NORDESTE","GWh","mensal",1,2,4068.11
"NORDESTE","GWh","mensal",1,3,4366.82
"NORDESTE","GWh","mensal",1,4,4178.92
"NORDESTE","GWh","mensal",1,5,4360.94
"NORDESTE","GWh","mensal",1,6,4102.45
"NORDESTE","GWh","mensal",1,7,4190.99
"NORDESTE","GWh","mensal",1,8,4303.27
"NORDESTE","GWh","mensal",1,9,4235.05
"NORDESTE","GWh","mensal",1,10,4568.76
"NORDESTE","GWh","mensal",1,11,4479.31
"NORDESTE","GWh","mensal",1,12,4533.52
"NORDESTE","GWh","mensal",1,1,4537.22
"NORDESTE","GWh","mensal",1,2,4202.03
"NORDESTE","GWh","mensal",1,3,4602.65
"NORDESTE","GWh","mensal",1,4,4299.09
"NORDESTE","GWh","mensal",1,5,4376.16
"NORDESTE","GWh","mensal",1,6,3273.67
"NORDESTE","GWh","mensal",1,7,3327.37
"NORDESTE","GWh","mensal",1,8,3419.52
"NORDESTE","GWh","mensal",1,9,3422.07
"NORDESTE","GWh","mensal",1,10,3625.36
"NORDESTE","GWh","mensal",1,11,3566.12
"NORDESTE","GWh","mensal",1,12,3689.69
"NORDESTE","GWh","mensal",1,1,3659.04
"NORDESTE","GWh","mensal",1,2,3531.69
"NORDESTE","GWh","mensal",1,3,4001.28
"NORDESTE","GWh","mensal",1,4,4008.98
"NORDESTE","GWh","mensal",1,5,4101.64
"NORDESTE","GWh","mensal",1,6,3905.9
"NORDESTE","GWh","mensal",1,7,4134.82
"NORDESTE","GWh","mensal",1,8,4216.29
"NORDESTE","GWh","mensal",1,9,4210.47
"NORDESTE","GWh","mensal",1,10,4521.88
"NORDESTE","GWh","mensal",1,11,4455.61
"NORDESTE","GWh","mensal",1,12,4538.48
"NORDESTE","GWh","mensal",1,1,4577.36
"NORDESTE","GWh","mensal",1,2,4017.9
"NORDESTE","GWh","mensal",1,3,4340
"NORDESTE","GWh","mensal",1,4,4311.35
"NORDESTE","GWh","mensal",1,5,4404.2
"NORDESTE","GWh","mensal",1,6,4128.84
"NORDESTE","GWh","mensal",1,7,4302.95
"NORDESTE","GWh","mensal",1,8,4406.51
"NORDESTE","GWh","mensal",1,9,4430.42
"NORDESTE","GWh","mensal",1,10,4705.09
"NORDESTE","GWh","mensal",1,11,4545.17
"NORDESTE","GWh","mensal",1,12,4752.98
"NORDESTE","GWh","mensal",1,1,4445.5
"NORDESTE","GWh","mensal",1,2,3997.42
"NORDESTE","GWh","mensal",1,3,4612.51
"NORDESTE","GWh","mensal",1,4,4471.03
"NORDESTE","GWh","mensal",1,5,4589.69
"NORDESTE","GWh","mensal",1,6,4320.42
"NORDESTE","GWh","mensal",1,7,4492.09
"NORDESTE","GWh","mensal",1,8,4629.64
"NORDESTE","GWh","mensal",1,9,4638.36
"NORDESTE","GWh","mensal",1,10,4909.75
