"bases","regioes","periodos","unidades_de_medida","download_ok","leitura_ok"
"anual","SE/CO",2000,"Mwmed",TRUE,TRUE
"mensal","SE/CO",2000,"Mwmed",TRUE,TRUE
"anual","SUL",2000,"Mwmed",TRUE,TRUE
"mensal","SUL",2000,"Mwmed",TRUE,TRUE
"anual","NORDESTE",2000,"Mwmed",TRUE,TRUE
"mensal","NORDESTE",2000,"Mwmed",TRUE,TRUE
"anual","NORTE",2000,"Mwmed",TRUE,TRUE
"mensal","NORTE",2000,"Mwmed",TRUE,TRUE
"anual","SIN",2000,"Mwmed",TRUE,TRUE
"mensal","SIN",2000,"Mwmed",TRUE,TRUE
"anual","SE/CO",2001,"Mwmed",TRUE,TRUE
"mensal","SE/CO",2001,"Mwmed",TRUE,TRUE
"anual","SUL",2001,"Mwmed",TRUE,TRUE
"mensal","SUL",2001,"Mwmed",TRUE,TRUE
"anual","NORDESTE",2001,"Mwmed",TRUE,TRUE
"mensal","NORDESTE",2001,"Mwmed",TRUE,TRUE
"anual","NORTE",2001,"Mwmed",TRUE,TRUE
"mensal","NORTE",2001,"Mwmed",TRUE,TRUE
"anual","SIN",2001,"Mwmed",TRUE,TRUE
"mensal","SIN",2001,"Mwmed",TRUE,TRUE
"anual","SE/CO",2002,"Mwmed",TRUE,TRUE
"mensal","SE/CO",2002,"Mwmed",TRUE,TRUE
"anual","SUL",2002,"Mwmed",TRUE,TRUE
"mensal","SUL",2002,"Mwmed",TRUE,TRUE
"anual","NORDESTE",2002,"Mwmed",TRUE,TRUE
"mensal","NORDESTE",2002,"Mwmed",TRUE,TRUE
"anual","NORTE",2002,"Mwmed",TRUE,TRUE
"mensal","NORTE",2002,"Mwmed",TRUE,TRUE
"anual","SIN",2002,"Mwmed",TRUE,TRUE
"mensal","SIN",2002,"Mwmed",TRUE,TRUE
"anual","SE/CO",2003,"Mwmed",TRUE,TRUE
"mensal","SE/CO",2003,"Mwmed",TRUE,TRUE
"anual","SUL",2003,"Mwmed",TRUE,TRUE
"mensal","SUL",2003,"Mwmed",TRUE,TRUE
"anual","NORDESTE",2003,"Mwmed",TRUE,TRUE
