"tipos_de_geracao","regioes","unidades_de_medida","periodos","download_ok","leitura_ok"
"HID","SE/CO","Mwmed",2002,TRUE,FALSE
"TER","SE/CO","Mwmed",2002,TRUE,FALSE
"NUC","SE/CO","Mwmed",2002,TRUE,FALSE
"EME","SE/CO","Mwmed",2002,TRUE,FALSE
"EOL","SE/CO","Mwmed",2002,TRUE,FALSE
"HID","S","Mwmed",2002,TRUE,FALSE
"TER","S","Mwmed",2002,TRUE,FALSE
"NUC","S","Mwmed",2002,TRUE,FALSE
"EME","S","Mwmed",2002,TRUE,FALSE
"EOL","S","Mwmed",2002,TRUE,FALSE
"HID","NE","Mwmed",2002,TRUE,FALSE
"TER","NE","Mwmed",2002,TRUE,FALSE
"NUC","NE","Mwmed",2002,TRUE,FALSE
"EME","NE","Mwmed",2002,TRUE,FALSE
"EOL","NE","Mwmed",2002,TRUE,FALSE
"HID","N","Mwmed",2002,TRUE,FALSE
"TER","N","Mwmed",2002,TRUE,FALSE
"NUC","N","Mwmed",2002,TRUE,FALSE
"EME","N","Mwmed",2002,TRUE,FALSE
"EOL","N","Mwmed",2002,TRUE,FALSE
"HID","Itaipu","Mwmed",2002,TRUE,FALSE
"TER","Itaipu","Mwmed",2002,TRUE,FALSE
"NUC","Itaipu","Mwmed",2002,TRUE,FALSE
"EME","Itaipu","Mwmed",2002,TRUE,FALSE
"EOL","Itaipu","Mwmed",2002,TRUE,FALSE
"HID","Sistemas","Mwmed",2002,TRUE,FALSE
"TER","Sistemas","Mwmed",2002,TRUE,FALSE
"NUC","Sistemas","Mwmed",2002,TRUE,FALSE
"EME","Sistemas","Mwmed",2002,TRUE,FALSE
"EOL","Sistemas","Mwmed",2002,TRUE,FALSE
"HID","SE/CO","GWh",2002,TRUE,TRUE
"TER","SE/CO","GWh",2002,TRUE,TRUE
"NUC","SE/CO","GWh",2002,TRUE,TRUE
"EME","SE/CO","GWh",2002,TRUE,TRUE
"EOL","SE/CO","GWh",2002,TRUE,FALSE
"HID","S","GWh",2002,TRUE,TRUE
"TER","S","GWh",2002,TRUE,TRUE
"NUC","S","GWh",2002,TRUE,TRUE
"EME","S","GWh",2002,TRUE,TRUE
"EOL","S","GWh",2002,TRUE,TRUE
"HID","NE","GWh",2002,TRUE,TRUE
"TER","NE","GWh",2002,TRUE,TRUE
"NUC","NE","GWh",2002,TRUE,TRUE
"EME","NE","GWh",2002,TRUE,TRUE
"EOL","NE","GWh",2002,TRUE,TRUE
"HID","N","GWh",2002,TRUE,TRUE
"TER","N","GWh",2002,TRUE,TRUE
"NUC","N","GWh",2002,TRUE,TRUE
"EME","N","GWh",2002,TRUE,TRUE
"EOL","N","GWh",2002,TRUE,FALSE
"HID","Itaipu","GWh",2002,TRUE,TRUE
"TER","Itaipu","GWh",2002,TRUE,TRUE
"NUC","Itaipu","GWh",2002,TRUE,TRUE
"EME","Itaipu","GWh",2002,TRUE,TRUE
"EOL","Itaipu","GWh",2002,TRUE,TRUE
"HID","Sistemas","GWh",2002,TRUE,TRUE
"TER","Sistemas","GWh",2002,TRUE,TRUE
"NUC","Sistemas","GWh",2002,TRUE,TRUE
"EME","Sistemas","GWh",2002,TRUE,TRUE
"EOL","Sistemas","GWh",2002,TRUE,TRUE
"HID","SE/CO","Mwmed",2003,TRUE,TRUE
"TER","SE/CO","Mwmed",2003,TRUE,TRUE
"NUC","SE/CO","Mwmed",2003,TRUE,TRUE
"EME","SE/CO","Mwmed",2003,TRUE,TRUE
"EOL","SE/CO","Mwmed",2003,TRUE,FALSE
"HID","S","Mwmed",2003,TRUE,TRUE
